,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_classifier__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,holdout_test_score
0,0,9.095574378967283,1.4770126677432331,0.0013847589492797852,8.594898509097864e-05,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5804701627486437,0.5406871609403255,0.5543478260869565,0.5353901996370236,0.5081669691470054,0.5290909090909091,0.54,0.5519125683060109,0.5591985428051002,0.5729927007299269,0.5472212132219397,0.020191538217350646,1,0.6559660811629315,0.6458711891782758,0.6457408155026242,0.6508577194752775,0.6488395560040363,0.6297417271993543,0.6472962066182405,0.6439378656445429,0.6336493847084931,0.6415893505445744,0.644348989603835,0.00738961580158608,0.5669934640522876
1,0,8.211686420440675,1.475111526506038,0.0014811277389526368,0.00022794886144909013,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5533453887884268,0.5244122965641953,0.552536231884058,0.5607985480943739,0.5916515426497277,0.5545454545454546,0.5290909090909091,0.5264116575591985,0.5464480874316939,0.5401459854014599,0.5479476934253542,0.01899296341951328,1,0.6557641833232385,0.637391479911165,0.6477593863544611,0.6423814328960645,0.6244197780020182,0.6287328490718321,0.6446731234866828,0.6403066370788784,0.6429291910429695,0.6333198870512303,0.639767794821854,0.008749183652376811,0.5506535947712419
2,0,7.734059596061707,1.3492215961850935,0.0015902042388916016,0.0005560241750506787,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5678119349005425,0.5298372513562387,0.5742753623188406,0.5553539019963702,0.5117967332123412,0.5290909090909091,0.5309090909090909,0.5446265938069217,0.5573770491803278,0.5565693430656934,0.5457682528151108,0.01885388620575453,1,0.6561679790026247,0.6436503129416515,0.6513928138877675,0.6429868819374369,0.6429868819374369,0.6460855528652139,0.6487086359967716,0.6318337704256607,0.6362719386725842,0.6278741427995159,0.6427958910466663,0.008274622964332503,0.5522875816993464
3,0,8.563788843154907,1.18222856437403,0.0021256685256958014,0.0018207321483311634,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5334538878842676,0.5605786618444847,0.5778985507246377,0.5408348457350273,0.5898366606170599,0.5509090909090909,0.5436363636363636,0.5537340619307832,0.5428051001821493,0.5565693430656934,0.5550308754086452,0.01654235858092562,1,0.6456692913385826,0.6529376135675349,0.6431166733952361,0.6450050454086781,0.6486377396569122,0.6279257465698144,0.6428571428571429,0.6380875529554166,0.6360702037522695,0.6343283582089553,0.6414635367710543,0.00701923872890655,0.5604575163398693
4,0,8.350234389305115,1.5954082786602004,0.0014873027801513671,0.0002365212717155101,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5280289330922242,0.5298372513562387,0.5688405797101449,0.6025408348457351,0.5499092558983666,0.5490909090909091,0.5454545454545454,0.5282331511839709,0.5500910746812386,0.5565693430656934,0.550853614239012,0.02130990550664922,1,0.6452654956591964,0.6527357157278417,0.6548243843358902,0.6367305751765893,0.6425832492431887,0.6432606941081518,0.6359967715899919,0.6372806132741577,0.6635061529150696,0.6294876966518758,0.6441671348681954,0.009749355005797131,0.5571895424836601
5,0,7.638387608528137,1.2128445959244842,0.0015171289443969727,0.00021484834777393808,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5099457504520796,0.5262206148282098,0.5543478260869565,0.5716878402903811,0.5208711433756806,0.5309090909090909,0.5763636363636364,0.5719489981785064,0.5519125683060109,0.541970802919708,0.5455866327642572,0.022203070419130017,1,0.6406218453462548,0.6432465172622653,0.6465482438433588,0.6401614530776993,0.6290615539858728,0.643866020984665,0.6251008878127522,0.6552350211821666,0.6304216259834577,0.6379588543767648,0.6392222023855259,0.008557915034104644,0.5588235294117647
6,0,8.317122721672058,1.0217869494378833,0.0013774394989013669,6.859789367969708e-05,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5641952983725136,0.5551537070524413,0.519927536231884,0.5535390199637024,0.5626134301270418,0.5418181818181819,0.5454545454545454,0.5591985428051002,0.5482695810564663,0.5565693430656934,0.5506719941881584,0.012331907192031713,1,0.6379971734302443,0.6375933777508581,0.6368591037545418,0.6569122098890009,0.6306760847628657,0.6596045197740112,0.6602098466505246,0.6439378656445429,0.6409118418398225,0.6407825736183945,0.6445484597114807,0.00997731183938552,0.5522875816993464
7,0,7.348139953613281,0.9312724759477524,0.0014658689498901368,0.00011759166149271377,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.546112115732369,0.515370705244123,0.5398550724637681,0.5353901996370236,0.5607985480943739,0.5454545454545454,0.5509090909090909,0.5646630236794171,0.5409836065573771,0.5711678832116789,0.5470395931710861,0.015258763793157245,1,0.6416313345447203,0.6452654956591964,0.6336293903916027,0.6351160443995963,0.6407669021190716,0.6386198547215496,0.6337772397094431,0.6475690942102078,0.6487795037320961,0.6500605082694635,0.6415215367756948,0.005903168890465924,0.5767973856209151
8,0,8.084116244316101,1.0474175454765926,0.0015495538711547852,0.0002240928947363234,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5623869801084991,0.5732368896925859,0.5434782608695652,0.5517241379310345,0.5317604355716878,0.5581818181818182,0.5763636363636364,0.5537340619307832,0.5500910746812386,0.5711678832116789,0.5572103160188885,0.013327014218852802,1,0.6329497274379164,0.6501110438118313,0.6487686717803794,0.6337033299697276,0.6468213925327951,0.6364003228410008,0.6436642453591606,0.6449465402461166,0.6405083719991931,0.6383622428398548,0.6416235888817975,0.005851850277090765,0.5522875816993464
9,0,8.964897441864014,1.2925955990485645,0.0015806198120117188,0.0002087889147571648,"(46,)",0.01,1000,"{'classifier__hidden_layer_sizes': (46,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.569620253164557,0.5569620253164557,0.5507246376811594,0.5607985480943739,0.5208711433756806,0.5690909090909091,0.5272727272727272,0.5537340619307832,0.5428051001821493,0.5492700729927007,0.5501271340355975,0.015321746201693912,1,0.6476882697355139,0.6444579043004239,0.6439241017359709,0.6504540867810292,0.6423814328960645,0.6481033091202583,0.6491121872477804,0.6338511196288078,0.6481742989711519,0.6389673255344898,0.6447114035951491,0.004916876819584939,0.5637254901960784
