,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_classifier__max_iter,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score,holdout_test_score
0,0.5101640224456787,0.02714371681213379,0.002832770347595215,2.491474151611328e-05,"(12,)",0.1,100,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.49727767695099817,0.5150854234823701,0.5061750817290229,0.008903870916071525,42,0.5459832788077063,0.5499092558983666,0.5479462673530364,0.0019629885453301688,0.5147058823529411
1,0.4526667594909668,0.050546884536743164,0.0025788545608520508,2.5391578674316406e-05,"(12,)",0.1,1000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.5183303085299455,0.5019992729916394,0.5101707228478024,0.008165515614380912,29,0.569247546346783,0.5499092558983666,0.5595784011225748,0.009669145224208198,0.5
2,0.682236909866333,0.0016169548034667969,0.0032836198806762695,0.0017064809799194336,"(12,)",0.1,10000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 10000}",0.4943738656987296,0.5067248273355144,0.5005448601525608,0.006175479188764659,63,0.5481643038894948,0.5484573502722323,0.5483108270808635,0.00014652319136876368,0.4950980392156863
3,0.4789806604385376,0.05632317066192627,0.0015047788619995117,4.2319297790527344e-05,"(12,)",0.01,100,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 100}",0.4921960072595281,0.4830970556161396,0.4876498365419542,0.00454947462114775,93,0.5165394402035624,0.5041742286751362,0.5103568344393492,0.006182605764213089,0.48856209150326796
4,2.6557360887527466,0.2745016813278198,0.0014649629592895508,2.110004425048828e-05,"(12,)",0.01,1000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.5009074410163339,0.5107233733187931,0.5058118416273156,0.004907964856082253,47,0.5456197746274082,0.5437386569872958,0.544679215807352,0.0009405588200561699,0.5147058823529411
5,2.6889379024505615,0.13309001922607422,0.0014998912811279297,6.67572021484375e-06,"(12,)",0.01,10000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 10000}",0.49727767695099817,0.5038167938931297,0.5005448601525608,0.003269557608272526,63,0.5565249000363505,0.5444646098003629,0.5504947549183568,0.006030145117993768,0.4918300653594771
6,0.5120121240615845,0.019437670707702637,0.0015562772750854492,4.172325134277344e-06,"(12,)",0.001,100,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 100}",0.41560798548094374,0.4463831334060342,0.4309843806756266,0.015387569901967914,106,0.42639040348964014,0.455535390199637,0.4409628968446386,0.01457249335499844,0.4477124183006536
7,4.21988320350647,0.12980270385742188,0.0016202926635742188,6.842613220214844e-05,"(12,)",0.001,1000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 1000}",0.494010889292196,0.4914576517629953,0.4927351979658554,0.0012766184277175502,85,0.5030897855325336,0.5197822141560798,0.5114359998443068,0.008346214311773126,0.5065359477124183
8,4.666767954826355,0.390936017036438,0.0015102624893188477,6.973743438720703e-05,"(12,)",0.001,10000,"{'classifier__hidden_layer_sizes': (12,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 10000}",0.46569872958257713,0.4860050890585242,0.4758445332364693,0.010153177058683642,96,0.5023627771719374,0.5092558983666061,0.5058093377692718,0.003446560597334336,0.49836601307189543
9,0.42679381370544434,0.007554292678833008,0.0015599727630615234,1.9311904907226562e-05,"(13,)",0.1,100,"{'classifier__hidden_layer_sizes': (13,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.5172413793103449,0.49472918938567795,0.5059934616781693,0.011256091991998828,46,0.559432933478735,0.5433756805807622,0.5514043070297486,0.008028626448986387,0.4673202614379085
10,0.4514247179031372,0.0001627206802368164,0.0015496015548706055,3.9696693420410156e-05,"(13,)",0.1,1000,"{'classifier__hidden_layer_sizes': (13,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.5070780399274047,0.5096328607778989,0.5083545223392663,0.001277410088155373,36,0.5528898582333697,0.5415607985480944,0.547225328390732,0.005664529842637656,0.5
11,0.5161169767379761,0.0810312032699585,0.0014983415603637695,9.655952453613281e-06,"(13,)",0.1,10000,"{'classifier__hidden_layer_sizes': (13,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 10000}",0.5005444646098004,0.504543802253726,0.5025426807119506,0.0019996682942766235,58,0.5677935296255907,0.5473684210526316,0.5575809753391112,0.010212554286479547,0.5081699346405228
12,0.45492231845855713,0.018473267555236816,0.0016629695892333984,1.9788742065429688e-05,"(13,)",0.01,100,"{'classifier__hidden_layer_sizes': (13,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 100}",0.4863883847549909,0.4856415848782261,0.4860152560842717,0.0003733998398470895,94,0.5070883315158125,0.5103448275862069,0.5087165795510097,0.0016282480351972328,0.49673202614379086
