,0
2,1.1825378932739166
3,1.1223232590364942
4,1.824379509911031
5,1.6993300932134243
6,1.4286286284751524
7,1.3672032474175235
8,1.2886813831847586
9,1.3392970643460405
10,1.2984439049765117
11,1.3430318922751943
12,1.4400229350853975
