,data,holdout_test_score,inner_nodes_post,inner_nodes_prev,mean_test_score,mean_train_score,pruned,scaled,std_test_score,std_train_score
0,raw,0.5555555555555556,589,1537,0.5586346781948421,0.8465918500003029,True,True,0.01353607454990086,0.007526897403032202
1,raw,0.5522875816993464,1538,1538,0.5444544053864627,0.9788917061212137,False,True,0.02146416584027622,0.0007723461990780288
2,raw,0.5604575163398693,588,1540,0.5593619569259773,0.8469954664699959,True,False,0.014072455483486158,0.007762165004538654
3,raw,0.553921568627451,1541,1541,0.5437215182612143,0.9788917061212137,False,False,0.02158463146119168,0.0007723461990780288
4,pca,0.5196078431372549,583,1523,0.5370436722669003,0.8527460316124653,True,True,0.011075623634375024,0.00392245537932302
5,pca,0.5310457516339869,1527,1527,0.5172553869496668,0.9788917061212137,False,True,0.013066395005555485,0.0007723461990780288
6,pca,0.5179738562091504,584,1525,0.5330492711355234,0.8526450989763428,True,False,0.013348840326984303,0.004160260853744431
7,pca,0.5310457516339869,1528,1528,0.5277735367967438,0.9788917061212137,False,False,0.011304156286332334,0.0007723461990780288
