,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,holdout_test_score
0,0.026802372932434083,0.010479667340517222,0.07135789394378662,0.03737297093228624,10,distance,"{'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.5985533453887885,0.5587703435804702,0.5507246376811594,0.5916515426497277,0.5916515426497277,0.5836363636363636,0.5909090909090909,0.5683060109289617,0.581056466302368,0.551094890510949,0.5766436614602252,0.017081546175177955,8,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.5996732026143791
1,0.025504350662231445,0.009473715970285037,0.04697761535644531,0.006998472730327404,10,uniform,"{'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.5533453887884268,0.5099457504520796,0.5126811594202898,0.5535390199637024,0.52994555353902,0.5709090909090909,0.5527272727272727,0.5027322404371585,0.5409836065573771,0.5164233576642335,0.534326189611333,0.022027608655461786,12,0.6121542499495255,0.6119523521098325,0.61324182478805,0.6090817356205853,0.6056508577194752,0.6071428571428571,0.6067393058918482,0.606213435545693,0.61166027839419,0.6075030254134732,0.609133992257553,0.0027082341420349267,0.5294117647058824
2,0.021574187278747558,0.004565330171672348,0.04699630737304687,0.01276925564324277,11,distance,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.5786618444846293,0.566003616636528,0.552536231884058,0.6007259528130672,0.5970961887477314,0.5890909090909091,0.5909090909090909,0.5719489981785064,0.5846994535519126,0.5364963503649635,0.5768252815110788,0.01935981155757685,7,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.5964052287581699
3,0.02589085102081299,0.0014745734725479754,0.06152896881103516,0.0019153087208611521,11,uniform,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.5479204339963833,0.5171790235081374,0.5181159420289855,0.5535390199637024,0.5172413793103449,0.5690909090909091,0.56,0.5081967213114754,0.5209471766848816,0.5054744525547445,0.5317835088993825,0.022123827869704762,13,0.6010498687664042,0.6069049061175046,0.6071861122325394,0.6024217961654894,0.6042381432896065,0.6035108958837773,0.6031073446327684,0.6027839419003429,0.6068186403066371,0.6062928600242034,0.6044314509319274,0.002090354025518487,0.5294117647058824
4,0.02678823471069336,0.0016355396498318193,0.06635732650756836,0.002282001301784148,12,distance,"{'classifier__n_neighbors': 12, 'classifier__weights': 'distance'}",0.5858951175406871,0.5641952983725136,0.5561594202898551,0.6061705989110708,0.5952813067150635,0.5890909090909091,0.5927272727272728,0.5719489981785064,0.5774134790528234,0.5437956204379562,0.5782782419179078,0.01834467496116038,2,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.5947712418300654
5,0.026445603370666503,0.0017734829379511651,0.06427588462829589,0.0039603061385372436,12,uniform,"{'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'}",0.5334538878842676,0.5117540687160941,0.5217391304347826,0.5535390199637024,0.515426497277677,0.5781818181818181,0.5436363636363636,0.5063752276867031,0.5063752276867031,0.5018248175182481,0.5272430076280421,0.023481045635325888,17,0.5945891378962245,0.5984251968503937,0.598304400484457,0.5909182643794147,0.6006054490413724,0.5920096852300242,0.5930185633575464,0.59794230381279,0.5975388339721606,0.6026623638563937,0.5966014198880777,0.0036323371934710445,0.5310457516339869
6,0.02492225170135498,0.003525423896861165,0.061494302749633786,0.009003041885181369,13,distance,"{'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.5840867992766727,0.5605786618444847,0.5543478260869565,0.604355716878403,0.5898366606170599,0.5909090909090909,0.5927272727272728,0.5664845173041895,0.575591985428051,0.5547445255474452,0.5773701416636396,0.016714182913047684,4,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.5964052287581699
7,0.025667023658752442,0.0020605120198530203,0.06786718368530273,0.004093702171222776,13,uniform,"{'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.5443037974683544,0.5135623869801085,0.519927536231884,0.5662431941923775,0.5190562613430127,0.5636363636363636,0.5454545454545454,0.4936247723132969,0.5100182149362478,0.5273722627737226,0.5303305484925536,0.02259404753121395,14,0.5889359983848172,0.5941853422168383,0.5926524020993137,0.5899091826437941,0.5917255297679112,0.5887812752219532,0.587772397094431,0.5904781117611458,0.5951180149283841,0.590560709963695,0.5910118964082284,0.0022719012144920676,0.5212418300653595
8,0.02629354000091553,0.0014844138156464618,0.07190608978271484,0.00512646017665494,14,distance,"{'classifier__n_neighbors': 14, 'classifier__weights': 'distance'}",0.5949367088607594,0.566003616636528,0.5579710144927537,0.604355716878403,0.588021778584392,0.5872727272727273,0.5945454545454546,0.5628415300546448,0.5737704918032787,0.5620437956204379,0.5791863421721758,0.01573555404735171,1,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.5947712418300654
9,0.027055692672729493,0.0029876773246514834,0.06824896335601807,0.0031106258639431754,14,uniform,"{'classifier__n_neighbors': 14, 'classifier__weights': 'uniform'}",0.5443037974683544,0.5063291139240507,0.5217391304347826,0.5753176043557169,0.5099818511796733,0.5545454545454546,0.5381818181818182,0.48816029143898,0.5027322404371585,0.5164233576642335,0.5257900472212133,0.02540592020318562,19,0.5838885523924894,0.5840904502321825,0.5847799757771498,0.584460141271443,0.5884964682139253,0.5843422114608555,0.5865617433414043,0.5838208593907606,0.5902763768408311,0.5855183541750706,0.5856235133096112,0.0020763188673338442,0.5359477124183006
