,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,holdout_test_score
0,0.012834262847900391,0.0022358768320003,0.09750306606292725,0.021859334489354128,10,distance,"{'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.6238698010849909,0.5840867992766727,0.5742753623188406,0.6116152450090744,0.5825771324863884,0.5763636363636364,0.58,0.6010928961748634,0.6174863387978142,0.5547445255474452,0.5906284053759535,0.0208629803045075,10,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6209150326797386
1,0.013769149780273438,0.0021038023807280542,0.08550617694854737,0.009723499237299389,10,uniform,"{'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.569620253164557,0.5443037974683544,0.5344202898550725,0.5716878402903811,0.5226860254083484,0.5436363636363636,0.5490909090909091,0.546448087431694,0.5519125683060109,0.5346715328467153,0.5468579731202324,0.014396170960144714,12,0.6228548354532607,0.6210377548960226,0.619095680258377,0.6193743693239152,0.6232088799192734,0.6244955609362389,0.6230831315577078,0.6239661085333871,0.6203348799677224,0.627672448567971,0.6225123649413875,0.0024907380398118835,0.5392156862745098
2,0.014150643348693847,0.0022468685431817404,0.08891863822937011,0.00842714600130492,11,distance,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.6220614828209765,0.5804701627486437,0.5778985507246377,0.6116152450090744,0.5789473684210527,0.5763636363636364,0.5963636363636363,0.6029143897996357,0.6174863387978142,0.5529197080291971,0.5917181256810752,0.02084464835030103,8,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6160130718954249
3,0.013631129264831543,0.0029364547599266583,0.08024725914001465,0.008696002708206309,11,uniform,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.5641952983725136,0.538878842676311,0.5471014492753623,0.5753176043557169,0.52994555353902,0.5454545454545454,0.5418181818181819,0.546448087431694,0.5446265938069217,0.5255474452554745,0.5459498728659644,0.013924411292589665,13,0.6145770240258429,0.6147789218655361,0.6142511102139685,0.6139253279515641,0.6203834510595359,0.6164245359160614,0.6148103309120259,0.6150897720395401,0.6132741577567077,0.6226300927793466,0.6160144724520129,0.002896613973579924,0.5555555555555556
4,0.015574359893798828,0.010108922860051939,0.08553841114044189,0.014899053802035024,12,distance,"{'classifier__n_neighbors': 12, 'classifier__weights': 'distance'}",0.6238698010849909,0.5822784810126582,0.5652173913043478,0.6061705989110708,0.5843920145190563,0.5745454545454546,0.6,0.6029143897996357,0.6174863387978142,0.5437956204379562,0.5900835452233927,0.023459972909481715,11,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6111111111111112
5,0.012343311309814453,0.001213066950890052,0.07463254928588867,0.01370796761995231,12,uniform,"{'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'}",0.5605786618444847,0.5370705244122965,0.5289855072463768,0.558983666061706,0.5172413793103449,0.5381818181818182,0.5490909090909091,0.5373406193078324,0.5482695810564663,0.5273722627737226,0.5403196512895023,0.01324132627746461,16,0.609529578033515,0.6071068039571976,0.6096083972547437,0.6062563067608476,0.6106962663975782,0.6109765940274415,0.6123890234059726,0.6088359895097841,0.6039943514222312,0.6149657119806373,0.6094359022749949,0.0029800234206260267,0.5506535947712419
6,0.01270761489868164,0.003044561796542851,0.08952147960662842,0.010077531062129675,13,distance,"{'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.620253164556962,0.5804701627486437,0.5670289855072463,0.6188747731397459,0.5862068965517241,0.5727272727272728,0.5963636363636363,0.6010928961748634,0.6211293260473588,0.5547445255474452,0.5918997457319288,0.02239776530623297,7,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6143790849673203
7,0.012885475158691406,0.0031360682943305813,0.08432068824768066,0.00543422768953734,13,uniform,"{'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.5533453887884268,0.5424954792043399,0.5344202898550725,0.5535390199637024,0.5226860254083484,0.5418181818181819,0.5563636363636364,0.5500910746812386,0.5409836065573771,0.5237226277372263,0.5419542317471849,0.01139544362595797,14,0.6067030082778114,0.604280234201494,0.6019378280177634,0.5951564076690212,0.6024217961654894,0.6105730427764327,0.6083535108958837,0.6009683276175106,0.6050030260238047,0.6079064138765631,0.6043303595521774,0.0042291953494744405,0.553921568627451
8,0.014217638969421386,0.005238466426298739,0.07768774032592773,0.016008067244512234,14,distance,"{'classifier__n_neighbors': 14, 'classifier__weights': 'distance'}",0.6220614828209765,0.5877034358047016,0.5670289855072463,0.6134301270417423,0.5843920145190563,0.5745454545454546,0.5927272727272728,0.599271402550091,0.6211293260473588,0.5638686131386861,0.5926262259353433,0.020139917431107716,6,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6127450980392157
9,0.013068866729736329,0.00400407702905469,0.0922546625137329,0.006121927282447734,14,uniform,"{'classifier__n_neighbors': 14, 'classifier__weights': 'uniform'}",0.5569620253164557,0.538878842676311,0.5380434782608695,0.5553539019963702,0.5226860254083484,0.5454545454545454,0.5472727272727272,0.5500910746812386,0.5446265938069217,0.5200729927007299,0.5419542317471849,0.011800091429545525,14,0.6002422774076317,0.6002422774076317,0.5964876867178038,0.59656912209889,0.5957618567103935,0.5956416464891041,0.6004842615012107,0.5965301593705871,0.5985475085737341,0.6032674465510286,0.5983774242828016,0.0024477436597844966,0.5522875816993464
