,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,holdout_test_score
0,0.021226263046264647,0.0034242933561264783,0.1464838743209839,0.011349995864661108,10,distance,"{'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.620253164556962,0.5714285714285714,0.5597826086956522,0.6188747731397459,0.5825771324863884,0.5763636363636364,0.5963636363636363,0.599271402550091,0.6029143897996357,0.551094890510949,0.5879041046131492,0.022385915676157872,6,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.619281045751634
1,0.01882486343383789,0.0008694387137308125,0.15638370513916017,0.01710407545360043,10,uniform,"{'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.5605786618444847,0.5352622061482821,0.5163043478260869,0.5753176043557169,0.5208711433756806,0.5472727272727272,0.5509090909090909,0.5409836065573771,0.5446265938069217,0.5328467153284672,0.5424990918997458,0.016756181793634008,13,0.6169997981021603,0.6172016959418534,0.6174808235769076,0.6179616548940464,0.6191725529767911,0.6188458434221146,0.6204600484261501,0.6201331450474077,0.6154932418801694,0.6202097620008068,0.6183958566268406,0.0015556685065575432,0.5522875816993464
2,0.01903839111328125,0.0030803642033030445,0.15323255062103272,0.026165217030530378,11,distance,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.6184448462929476,0.5732368896925859,0.5688405797101449,0.6134301270417423,0.5807622504537205,0.5854545454545454,0.5872727272727273,0.6065573770491803,0.6065573770491803,0.5565693430656934,0.5897203051216854,0.019659114284628937,1,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6209150326797386
3,0.021148133277893066,0.0030723661440426766,0.19517385959625244,0.04819729308579998,11,uniform,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.5605786618444847,0.5370705244122965,0.5398550724637681,0.573502722323049,0.5208711433756806,0.5472727272727272,0.5436363636363636,0.5428051001821493,0.5482695810564663,0.5291970802919708,0.5443152924082819,0.014125882123802717,12,0.6125580456289118,0.61114476075106,0.6128381106176827,0.6123107971745712,0.6115035317860746,0.6119854721549637,0.6121872477804681,0.6128706879160782,0.6136776275973371,0.6145623235175474,0.6125638604924695,0.0009530096498214369,0.5555555555555556
4,0.02068610191345215,0.003965959514883928,0.1442563056945801,0.0236263446301783,12,distance,"{'classifier__n_neighbors': 12, 'classifier__weights': 'distance'}",0.6148282097649186,0.5768535262206148,0.5652173913043478,0.6152450090744102,0.5789473684210527,0.5781818181818181,0.58,0.5956284153005464,0.6065573770491803,0.5602189781021898,0.5871776244097349,0.018750682162765885,9,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6176470588235294
5,0.019110894203186034,0.0015619056327553305,0.1701704740524292,0.019088510959979328,12,uniform,"{'classifier__n_neighbors': 12, 'classifier__weights': 'uniform'}",0.5732368896925859,0.5334538878842676,0.519927536231884,0.5644283121597096,0.5190562613430127,0.5490909090909091,0.5436363636363636,0.5336976320582878,0.5409836065573771,0.5200729927007299,0.5397747911369415,0.017673831558978496,15,0.6046840298808803,0.6089238845144357,0.6085991118288252,0.6026236125126135,0.6090817356205853,0.6067393058918482,0.6055286521388217,0.6056082307847488,0.6060117006253782,0.6058894715611134,0.6063689735359251,0.0019366597809465683,0.5588235294117647
6,0.019919419288635255,0.0015785415999064396,0.17143104076385499,0.013062475393542801,13,distance,"{'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.6184448462929476,0.5750452079566004,0.5670289855072463,0.6134301270417423,0.5825771324863884,0.58,0.5763636363636364,0.6010928961748634,0.6156648451730419,0.5565693430656934,0.5886305848165637,0.020807346597598468,3,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6111111111111112
7,0.01823849678039551,0.0018963812067186692,0.1673987865447998,0.016634237023589727,13,uniform,"{'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.5641952983725136,0.5443037974683544,0.5253623188405797,0.5662431941923775,0.5190562613430127,0.5490909090909091,0.5472727272727272,0.5409836065573771,0.5355191256830601,0.5200729927007299,0.5412277515437705,0.01576721090589401,14,0.6000403795679387,0.6016555622854836,0.5974969721437222,0.5967709384460141,0.6028254288597377,0.6027037933817595,0.606133979015335,0.5983457736534195,0.6019770022190841,0.6068979427188382,0.6014847772291333,0.0032331831303444762,0.5310457516339869
8,0.022626447677612304,0.005912262573531385,0.19673268795013427,0.049763836466401264,14,distance,"{'classifier__n_neighbors': 14, 'classifier__weights': 'distance'}",0.6094032549728752,0.5804701627486437,0.5634057971014492,0.617059891107078,0.5843920145190563,0.5745454545454546,0.5727272727272728,0.599271402550091,0.604735883424408,0.5583941605839416,0.5864511442063204,0.019104267290607213,11,0.979002624671916,0.9792045225116092,0.9777957206297941,0.9782038345105953,0.9802219979818365,0.9798224374495561,0.9778046811945117,0.9794230381279,0.9786160984466411,0.9788221056877773,0.9788917061212137,0.0007723461990780288,0.6127450980392157
9,0.01855154037475586,0.0011096033498717937,0.16413514614105223,0.010911302660581226,14,uniform,"{'classifier__n_neighbors': 14, 'classifier__weights': 'uniform'}",0.5587703435804702,0.5370705244122965,0.5217391304347826,0.5535390199637024,0.5136116152450091,0.5472727272727272,0.5418181818181819,0.5300546448087432,0.5227686703096539,0.5127737226277372,0.5339629495096259,0.015495820971616735,18,0.5955986270946901,0.5964062184534625,0.593056116269681,0.5856710393541877,0.5989909182643794,0.5980629539951574,0.6014931396287329,0.5947145450877547,0.5941093403268106,0.6006454215409439,0.5958748320015801,0.0043093642995056325,0.5359477124183006
