,0
2,1.175028107545922
3,1.2248164595030104
4,1.6000225134928787
5,1.5009584140254923
6,1.3001239226064236
7,1.20002819437135
8,1.2817830204352645
9,1.2433410928062159
10,1.2734861570815226
11,1.2451120788560597
12,1.2638771988091642
